Id,Age,Attrition,BusinessTravel,E,Department,DistanceFromHome,Education,Education_code,EducationField,EmployeeNumber,EnvironmentSatisfaction,EnvironmentSatisfaction_code,Gender,HourlyRate,JobInvolvement,JobInvolvement_code,JobLevel,JobRole,JobSatisfaction,JobSatisfaction_code,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,PerformanceRating_code,RelationshipSatisfaction,RelationshipSatisfaction_code,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,WorkLifeBalance_code,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
116,44,No,Travel_Rarely,1488,Sales,1,Doctor,5,Marketing,68,Medium,2,Female,75,High,3,2,Sales Executive,Low,1,Divorced,5454,4009,5,Yes,21,Outstanding,4,High,3,1,9,2,Good,2,4,3,1,3
117,32,No,Non-Travel,862,Sales,2,Below College,1,Life Sciences,1190,High,3,Female,76,High,3,1,Sales Representative,Low,1,Divorced,2827,14947,1,No,12,Excellent,3,High,3,3,1,3,Better,3,1,0,0,0
118,45,No,Travel_Rarely,252,Research & Development,2,Bachelor,3,Life Sciences,834,Medium,2,Female,95,Medium,2,1,Research Scientist,High,3,Single,2274,6153,1,No,14,Excellent,3,Very High,4,0,1,3,Better,3,1,0,0,0
119,35,No,Travel_Rarely,1296,Research & Development,5,Master,4,Technical Degree,464,High,3,Male,62,High,3,3,Manufacturing Director,Medium,2,Single,8095,18264,0,No,13,Excellent,3,Very High,4,0,17,5,Better,3,16,6,0,13
120,28,No,Travel_Rarely,1179,Research & Development,19,Master,4,Medical,1216,Very High,4,Male,78,Medium,2,1,Laboratory Technician,Low,1,Married,3196,12449,1,No,12,Excellent,3,High,3,3,6,2,Better,3,6,5,3,3
121,38,No,Travel_Frequently,216,Research & Development,23,Bachelor,3,Life Sciences,12,Very High,4,Male,44,Medium,2,3,Manufacturing Director,High,3,Single,9526,8787,0,No,21,Outstanding,4,Medium,2,0,10,2,Better,3,9,7,1,8
122,37,No,Travel_Rarely,1239,Human Resources,8,College,2,Other,1794,High,3,Male,89,High,3,2,Human Resources,Medium,2,Divorced,4071,12832,2,No,13,Excellent,3,High,3,0,19,4,Good,2,10,0,4,7
123,19,Yes,Travel_Rarely,303,Research & Development,2,Bachelor,3,Life Sciences,243,Medium,2,Male,47,Medium,2,1,Laboratory Technician,Very High,4,Single,1102,9241,1,No,22,Outstanding,4,High,3,0,1,3,Good,2,1,0,1,0
124,27,No,Travel_Rarely,1240,Research & Development,2,Master,4,Life Sciences,54,Very High,4,Female,33,High,3,1,Laboratory Technician,Low,1,Divorced,2341,19715,1,No,13,Excellent,3,Very High,4,1,1,6,Better,3,1,0,0,0
125,40,No,Non-Travel,1151,Research & Development,9,Doctor,5,Life Sciences,287,Very High,4,Male,63,Medium,2,2,Healthcare Representative,Very High,4,Married,4876,14242,9,No,14,Excellent,3,Very High,4,1,5,5,Bad,1,3,2,0,2
126,38,No,Travel_Rarely,688,Research & Development,23,Master,4,Life Sciences,393,Very High,4,Male,82,High,3,2,Healthcare Representative,Very High,4,Divorced,5745,18899,9,No,14,Excellent,3,Medium,2,1,10,2,Better,3,2,2,1,2
127,41,No,Travel_Frequently,857,Research & Development,10,Bachelor,3,Life Sciences,199,Very High,4,Male,91,Medium,2,4,Manager,Low,1,Divorced,17181,12888,4,No,13,Excellent,3,Medium,2,1,21,2,Good,2,7,6,7,7
128,32,Yes,Travel_Rarely,964,Sales,1,College,2,Life Sciences,1734,Low,1,Male,34,Low,1,2,Sales Executive,Medium,2,Single,6735,12147,6,No,15,Excellent,3,Medium,2,0,10,2,Better,3,0,0,0,0
129,40,No,Travel_Rarely,1124,Sales,1,College,2,Medical,453,Medium,2,Male,57,Low,1,2,Sales Executive,Very High,4,Married,7457,13273,2,Yes,22,Outstanding,4,High,3,3,6,2,Good,2,4,3,0,2
130,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,3,Life Sciences,137,Very High,4,Female,66,Medium,2,1,Laboratory Technician,Very High,4,Single,2926,19783,1,Yes,18,Excellent,3,Medium,2,0,1,5,Better,3,1,0,1,0
131,30,No,Travel_Rarely,979,Sales,15,College,2,Marketing,1754,High,3,Male,94,Medium,2,3,Sales Executive,Low,1,Divorced,7140,3088,2,No,11,Excellent,3,Low,1,1,12,2,Better,3,7,7,1,7
132,59,No,Travel_Rarely,142,Research & Development,3,Bachelor,3,Life Sciences,309,High,3,Male,70,Medium,2,1,Research Scientist,Very High,4,Married,2177,8456,3,No,17,Excellent,3,Low,1,1,7,6,Better,3,1,0,0,0
133,49,No,Travel_Rarely,1313,Sales,11,Master,4,Marketing,1757,Very High,4,Female,80,High,3,2,Sales Executive,Very High,4,Single,4507,8191,3,No,12,Excellent,3,High,3,0,8,1,Best,4,5,1,0,4
134,26,Yes,Travel_Rarely,950,Sales,4,Master,4,Marketing,401,Very High,4,Male,48,Medium,2,2,Sales Executive,Very High,4,Single,5828,8450,1,Yes,12,Excellent,3,Medium,2,0,8,0,Better,3,8,7,7,4
135,38,No,Non-Travel,152,Sales,10,Bachelor,3,Technical Degree,983,High,3,Female,85,High,3,2,Sales Executive,Very High,4,Single,5666,19899,1,Yes,13,Excellent,3,Medium,2,0,6,1,Better,3,5,3,1,3
136,35,No,Travel_Rarely,890,Sales,2,Bachelor,3,Marketing,49,Very High,4,Female,97,High,3,1,Sales Representative,Very High,4,Married,2014,9687,1,No,13,Excellent,3,Low,1,0,2,3,Better,3,2,2,2,2
137,50,No,Travel_Rarely,316,Sales,8,Master,4,Marketing,738,Very High,4,Male,54,High,3,1,Sales Representative,Medium,2,Married,3875,9983,7,No,15,Excellent,3,Very High,4,1,4,2,Better,3,2,2,2,2
138,44,No,Non-Travel,111,Research & Development,17,Bachelor,3,Life Sciences,1206,Very High,4,Male,74,Low,1,1,Research Scientist,High,3,Single,2290,4279,2,No,13,Excellent,3,Very High,4,0,6,3,Better,3,0,0,0,0
139,29,No,Travel_Frequently,490,Research & Development,10,Bachelor,3,Life Sciences,1143,Very High,4,Female,61,High,3,1,Research Scientist,Medium,2,Divorced,3291,17940,0,No,14,Excellent,3,Very High,4,2,8,2,Good,2,7,5,1,1
140,36,No,Travel_Rarely,1403,Research & Development,6,Bachelor,3,Life Sciences,373,Very High,4,Male,47,High,3,1,Laboratory Technician,Very High,4,Married,3210,20251,0,No,11,Excellent,3,High,3,1,16,4,Better,3,15,13,10,11
141,41,No,Travel_Rarely,1283,Research & Development,5,Doctor,5,Medical,1448,Medium,2,Male,90,Very High,4,1,Research Scientist,High,3,Married,2127,5561,2,Yes,12,Excellent,3,Low,1,0,7,5,Good,2,4,2,0,3
142,35,No,Travel_Rarely,755,Research & Development,9,Master,4,Life Sciences,496,High,3,Male,97,Medium,2,2,Healthcare Representative,Medium,2,Single,6540,19394,9,No,19,Excellent,3,High,3,0,10,5,Better,3,1,1,0,0
143,34,No,Travel_Rarely,1326,Sales,3,Bachelor,3,Other,1478,Very High,4,Male,81,Low,1,2,Sales Executive,Low,1,Single,4759,15891,3,No,18,Excellent,3,Very High,4,0,15,2,Better,3,13,9,3,12
144,45,No,Travel_Rarely,1316,Research & Development,29,Bachelor,3,Medical,192,High,3,Male,83,High,3,1,Research Scientist,Very High,4,Single,3452,9752,5,No,13,Excellent,3,Medium,2,0,9,2,Good,2,6,5,0,3
145,36,Yes,Travel_Rarely,530,Sales,3,Below College,1,Life Sciences,967,High,3,Male,51,Medium,2,3,Sales Executive,Very High,4,Married,10325,5518,1,Yes,11,Excellent,3,Low,1,1,16,6,Better,3,16,7,3,7
146,36,No,Travel_Rarely,557,Sales,3,Bachelor,3,Medical,2024,Low,1,Female,94,Medium,2,3,Sales Executive,Very High,4,Married,7644,12695,0,No,19,Excellent,3,High,3,2,10,2,Better,3,9,7,3,4
147,46,No,Travel_Frequently,1211,Sales,5,Master,4,Marketing,62,Low,1,Male,98,High,3,2,Sales Executive,Very High,4,Single,5772,20445,4,Yes,21,Outstanding,4,High,3,0,14,4,Better,3,9,6,0,8
148,39,No,Travel_Rarely,613,Research & Development,6,Below College,1,Medical,2062,Very High,4,Male,42,Medium,2,3,Healthcare Representative,Low,1,Married,9991,21457,4,No,15,Excellent,3,Low,1,1,9,5,Better,3,7,7,1,7
149,36,No,Non-Travel,1229,Sales,8,Master,4,Technical Degree,990,Low,1,Male,84,High,3,2,Sales Executive,Very High,4,Divorced,5079,25952,4,No,13,Excellent,3,Very High,4,2,12,3,Better,3,7,7,0,7
150,50,No,Travel_Rarely,691,Research & Development,2,Bachelor,3,Medical,815,High,3,Male,64,High,3,4,Research Director,High,3,Married,17639,6881,5,No,16,Excellent,3,Very High,4,0,30,3,Better,3,4,3,0,3
151,40,No,Travel_Rarely,1492,Research & Development,20,Master,4,Technical Degree,1092,Low,1,Male,61,High,3,3,Healthcare Representative,Very High,4,Married,10322,26542,4,No,20,Outstanding,4,Very High,4,1,14,6,Better,3,11,10,11,1
152,33,No,Travel_Frequently,1146,Sales,25,Bachelor,3,Medical,1220,Medium,2,Female,82,High,3,2,Sales Executive,High,3,Married,4539,4905,1,No,12,Excellent,3,Low,1,1,10,3,Good,2,10,7,0,1
153,27,No,Non-Travel,210,Sales,1,Below College,1,Marketing,449,High,3,Male,73,High,3,2,Sales Executive,Medium,2,Married,6349,22107,0,Yes,13,Excellent,3,Very High,4,1,6,0,Better,3,5,4,1,4
154,33,No,Non-Travel,722,Sales,17,Bachelor,3,Life Sciences,992,Very High,4,Male,38,High,3,4,Manager,High,3,Single,17444,20489,1,No,11,Excellent,3,Very High,4,0,10,2,Better,3,10,8,6,0
155,23,Yes,Travel_Frequently,638,Sales,9,Bachelor,3,Marketing,2023,Very High,4,Male,33,High,3,1,Sales Representative,Low,1,Married,1790,26956,1,No,19,Excellent,3,Low,1,1,1,3,Good,2,1,0,1,0
156,25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,3,Medical,538,Low,1,Male,91,High,3,1,Laboratory Technician,Low,1,Married,4031,9396,5,No,13,Excellent,3,High,3,1,6,5,Better,3,2,2,0,2
157,38,No,Travel_Frequently,888,Human Resources,10,Master,4,Human Resources,1563,High,3,Male,71,High,3,2,Human Resources,High,3,Married,6077,14814,3,No,11,Excellent,3,High,3,0,10,2,Better,3,6,3,1,2
158,28,No,Travel_Rarely,580,Research & Development,27,Bachelor,3,Medical,1622,Medium,2,Female,39,Low,1,2,Manufacturing Director,Low,1,Divorced,4877,20460,0,No,21,Outstanding,4,Medium,2,1,6,5,Good,2,5,3,0,0
159,36,No,Travel_Rarely,1383,Research & Development,10,Bachelor,3,Life Sciences,1790,Very High,4,Male,90,High,3,3,Healthcare Representative,Low,1,Married,8321,25949,7,Yes,13,Excellent,3,Very High,4,1,15,1,Better,3,12,8,5,7
160,23,No,Travel_Rarely,507,Research & Development,20,Below College,1,Life Sciences,1533,Low,1,Male,97,High,3,2,Laboratory Technician,High,3,Single,2272,24812,0,No,14,Excellent,3,Medium,2,0,5,2,Better,3,4,3,1,2
161,40,No,Travel_Rarely,884,Research & Development,15,Bachelor,3,Life Sciences,1628,Low,1,Female,80,Medium,2,3,Manufacturing Director,High,3,Married,10435,25800,1,No,13,Excellent,3,Very High,4,2,18,2,Better,3,18,15,14,12
162,45,No,Travel_Frequently,1199,Research & Development,7,Master,4,Life Sciences,341,Low,1,Male,77,Very High,4,2,Manufacturing Director,High,3,Married,6434,5118,4,No,17,Excellent,3,Very High,4,1,9,1,Better,3,3,2,0,2
163,29,Yes,Travel_Rarely,350,Human Resources,13,Bachelor,3,Human Resources,1844,Low,1,Male,56,Medium,2,1,Human Resources,Low,1,Divorced,2335,3157,4,Yes,15,Excellent,3,Very High,4,3,4,3,Better,3,2,2,2,0
164,34,No,Travel_Frequently,135,Research & Development,19,Bachelor,3,Medical,1285,High,3,Female,46,High,3,2,Laboratory Technician,Medium,2,Divorced,4444,22534,4,No,13,Excellent,3,High,3,2,15,2,Best,4,11,8,5,10
165,35,No,Travel_Rarely,1232,Sales,16,Bachelor,3,Marketing,406,High,3,Male,96,High,3,3,Sales Executive,Medium,2,Married,8020,5100,0,No,15,Excellent,3,High,3,2,12,3,Good,2,11,9,6,9
166,30,No,Non-Travel,1398,Sales,22,Master,4,Other,567,High,3,Female,69,High,3,3,Sales Executive,Low,1,Married,8412,2890,0,No,11,Excellent,3,High,3,0,10,3,Better,3,9,8,7,8
167,44,No,Travel_Rarely,921,Research & Development,2,Bachelor,3,Life Sciences,1703,High,3,Female,96,Very High,4,3,Healthcare Representative,Very High,4,Married,7879,14810,1,Yes,19,Excellent,3,Medium,2,1,9,2,Better,3,8,7,6,7
168,40,No,Travel_Rarely,543,Research & Development,1,Master,4,Life Sciences,2012,Low,1,Male,83,High,3,1,Laboratory Technician,Very High,4,Married,2406,4060,8,No,19,Excellent,3,High,3,2,8,3,Good,2,1,0,0,0
169,33,No,Travel_Rarely,392,Sales,2,Master,4,Medical,1670,Very High,4,Male,93,High,3,2,Sales Executive,Very High,4,Divorced,5505,3921,1,No,14,Excellent,3,High,3,2,6,5,Better,3,6,2,0,4
170,35,No,Travel_Rarely,682,Sales,18,Master,4,Medical,1945,Medium,2,Male,71,High,3,2,Sales Executive,Low,1,Married,5561,15975,0,No,16,Excellent,3,Very High,4,1,6,2,Bad,1,5,3,0,4
171,37,No,Travel_Rarely,977,Research & Development,1,Bachelor,3,Life Sciences,1196,Very High,4,Female,56,Medium,2,2,Manufacturing Director,Very High,4,Married,6474,9961,1,No,13,Excellent,3,Medium,2,1,14,2,Good,2,14,8,3,11
172,40,Yes,Non-Travel,1479,Sales,24,Bachelor,3,Life Sciences,986,Medium,2,Female,100,Very High,4,4,Sales Executive,Medium,2,Single,13194,17071,4,Yes,16,Excellent,3,Very High,4,0,22,2,Good,2,1,0,0,0
173,50,Yes,Travel_Frequently,959,Sales,1,Master,4,Other,1113,Very High,4,Male,81,High,3,2,Sales Executive,High,3,Single,4728,17251,3,Yes,14,Excellent,3,Very High,4,0,5,4,Better,3,0,0,0,0
174,52,No,Travel_Rarely,1490,Research & Development,4,College,2,Life Sciences,546,Very High,4,Female,30,High,3,4,Manager,Very High,4,Married,16555,10310,2,No,13,Excellent,3,Very High,4,0,31,2,Bad,1,5,2,1,4
175,21,No,Non-Travel,895,Sales,9,College,2,Medical,484,Low,1,Male,39,High,3,1,Sales Representative,Very High,4,Single,2610,2851,1,No,24,Outstanding,4,High,3,0,3,3,Good,2,3,2,2,2
176,26,Yes,Travel_Frequently,426,Human Resources,17,Master,4,Life Sciences,608,Medium,2,Female,58,High,3,1,Human Resources,High,3,Divorced,2741,22808,0,Yes,11,Excellent,3,Medium,2,1,8,2,Good,2,7,7,1,0
177,35,No,Travel_Frequently,146,Research & Development,2,Master,4,Medical,1704,Low,1,Male,79,Medium,2,1,Research Scientist,Very High,4,Single,4930,13970,0,Yes,14,Excellent,3,High,3,0,6,2,Best,4,5,4,1,4
178,46,No,Travel_Rarely,1319,Sales,3,Bachelor,3,Technical Degree,1863,Low,1,Female,45,Very High,4,4,Sales Executive,Low,1,Divorced,13225,7739,2,No,12,Excellent,3,Very High,4,1,25,5,Better,3,19,17,2,8
179,60,No,Travel_Rarely,422,Research & Development,7,Bachelor,3,Life Sciences,549,Low,1,Female,41,High,3,5,Manager,Low,1,Married,19566,3854,5,No,11,Excellent,3,Very High,4,0,33,5,Bad,1,29,8,11,10
180,27,No,Travel_Rarely,1354,Research & Development,2,Master,4,Technical Degree,1931,Medium,2,Male,41,High,3,1,Research Scientist,Medium,2,Married,2226,6073,1,No,11,Excellent,3,High,3,1,6,3,Good,2,5,3,1,2
181,37,No,Travel_Rarely,124,Research & Development,3,Bachelor,3,Other,1062,Very High,4,Female,35,High,3,2,Healthcare Representative,Medium,2,Single,4107,13848,3,No,15,Excellent,3,Low,1,0,8,3,Good,2,4,3,0,1
182,33,No,Travel_Rarely,461,Research & Development,13,Below College,1,Life Sciences,995,Medium,2,Female,53,High,3,1,Research Scientist,Very High,4,Single,3452,17241,3,No,18,Excellent,3,Low,1,0,5,4,Better,3,3,2,0,2
183,40,No,Travel_Frequently,1469,Research & Development,9,Master,4,Medical,964,Very High,4,Male,35,High,3,1,Research Scientist,Medium,2,Divorced,3617,25063,8,Yes,14,Excellent,3,Very High,4,1,3,2,Better,3,1,1,0,0
184,55,Yes,Travel_Rarely,267,Sales,13,Master,4,Marketing,1372,Low,1,Male,85,Very High,4,4,Sales Executive,High,3,Single,13695,9277,6,Yes,17,Excellent,3,High,3,0,24,2,Good,2,19,7,3,8
185,39,No,Non-Travel,792,Research & Development,1,Bachelor,3,Life Sciences,1737,Very High,4,Male,77,High,3,2,Laboratory Technician,Very High,4,Married,6472,8989,1,Yes,15,Excellent,3,Very High,4,1,9,2,Better,3,9,8,5,8
186,32,No,Travel_Rarely,128,Research & Development,2,Below College,1,Technical Degree,362,Very High,4,Male,84,Medium,2,2,Laboratory Technician,Low,1,Single,2176,19737,4,No,13,Excellent,3,Very High,4,0,9,5,Better,3,6,2,0,4
187,31,No,Travel_Rarely,329,Research & Development,1,College,2,Life Sciences,530,Very High,4,Male,98,Medium,2,1,Laboratory Technician,Low,1,Married,2218,16193,1,No,12,Excellent,3,High,3,1,4,3,Better,3,4,2,3,2
188,35,No,Travel_Rarely,1395,Research & Development,9,Master,4,Medical,2008,Medium,2,Male,48,High,3,2,Research Scientist,High,3,Single,5098,18698,1,No,19,Excellent,3,Medium,2,0,10,5,Better,3,10,7,0,8
189,38,No,Travel_Rarely,364,Research & Development,3,Doctor,5,Technical Degree,193,Very High,4,Female,32,High,3,2,Research Scientist,High,3,Single,4317,2302,3,Yes,20,Outstanding,4,Medium,2,0,19,2,Better,3,3,2,2,2
190,34,Yes,Travel_Rarely,699,Research & Development,6,Below College,1,Medical,31,Medium,2,Male,83,High,3,1,Research Scientist,Low,1,Single,2960,17102,2,No,11,Excellent,3,High,3,0,8,2,Better,3,4,2,1,3
191,39,No,Travel_Rarely,1329,Sales,4,Master,4,Life Sciences,182,Very High,4,Female,47,Medium,2,2,Sales Executive,High,3,Married,5902,14590,4,No,14,Excellent,3,High,3,1,17,1,Best,4,15,11,5,9
192,39,No,Travel_Rarely,119,Sales,15,Master,4,Marketing,1975,Medium,2,Male,77,High,3,4,Sales Executive,Low,1,Single,13341,25098,0,No,12,Excellent,3,Low,1,0,21,3,Better,3,20,8,11,10
193,44,No,Travel_Rarely,661,Research & Development,9,College,2,Life Sciences,913,Medium,2,Male,61,High,3,1,Research Scientist,Low,1,Married,2559,7508,1,Yes,13,Excellent,3,Very High,4,0,8,0,Better,3,8,7,7,1
194,34,No,Travel_Rarely,1351,Research & Development,1,Master,4,Life Sciences,1580,Medium,2,Male,45,High,3,2,Research Scientist,Very High,4,Married,5484,13008,9,No,17,Excellent,3,Medium,2,1,9,3,Good,2,2,2,2,1
195,25,No,Travel_Rarely,266,Research & Development,1,Bachelor,3,Medical,1303,Very High,4,Female,40,High,3,1,Research Scientist,Medium,2,Single,2096,18830,1,No,18,Excellent,3,Very High,4,0,2,3,Good,2,2,2,2,1
196,40,No,Non-Travel,663,Research & Development,9,Master,4,Other,1449,High,3,Male,81,High,3,2,Laboratory Technician,High,3,Divorced,3975,23099,3,No,11,Excellent,3,High,3,2,11,2,Best,4,8,7,0,7
197,54,No,Travel_Frequently,928,Research & Development,20,Master,4,Life Sciences,450,Very High,4,Female,31,High,3,2,Research Scientist,High,3,Single,4869,16885,3,No,12,Excellent,3,Very High,4,0,20,4,Good,2,4,3,0,3
198,39,No,Travel_Rarely,412,Research & Development,13,Master,4,Medical,1307,High,3,Female,94,Medium,2,4,Manager,Medium,2,Divorced,17123,17334,6,Yes,13,Excellent,3,Very High,4,2,21,4,Better,3,19,9,15,2
199,33,No,Travel_Rarely,575,Research & Development,25,Bachelor,3,Life Sciences,1545,Very High,4,Male,44,Medium,2,2,Manufacturing Director,Medium,2,Single,4320,24152,1,No,13,Excellent,3,Very High,4,0,5,2,Better,3,5,3,0,2
200,60,No,Travel_Rarely,696,Sales,7,Master,4,Marketing,1233,Medium,2,Male,52,Very High,4,2,Sales Executive,Very High,4,Divorced,5220,10893,0,Yes,18,Excellent,3,Medium,2,1,12,3,Better,3,11,7,1,9
201,40,No,Travel_Rarely,302,Research & Development,6,Bachelor,3,Life Sciences,601,Medium,2,Female,75,High,3,4,Manufacturing Director,High,3,Single,13237,20364,7,No,15,Excellent,3,High,3,0,22,3,Better,3,20,6,5,13
202,40,No,Travel_Rarely,898,Human Resources,6,College,2,Medical,1550,High,3,Male,38,High,3,4,Manager,Very High,4,Single,16437,17381,1,Yes,21,Outstanding,4,Very High,4,0,21,2,Better,3,21,7,7,7
203,42,No,Travel_Frequently,570,Research & Development,8,Bachelor,3,Life Sciences,809,Medium,2,Male,66,High,3,5,Manager,Very High,4,Divorced,18430,16225,1,No,13,Excellent,3,Medium,2,1,24,4,Good,2,24,7,14,9
204,28,Yes,Travel_Rarely,654,Research & Development,1,College,2,Life Sciences,741,Low,1,Female,67,Low,1,1,Research Scientist,Medium,2,Single,2216,3872,7,Yes,13,Excellent,3,Very High,4,0,10,4,Better,3,7,7,3,7
205,27,No,Travel_Rarely,486,Research & Development,8,Bachelor,3,Medical,1647,Medium,2,Female,86,Very High,4,1,Research Scientist,High,3,Married,3517,22490,7,No,17,Excellent,3,Low,1,0,5,0,Better,3,3,2,0,2
206,49,No,Travel_Frequently,1064,Research & Development,2,Below College,1,Life Sciences,1941,Medium,2,Male,42,High,3,5,Research Director,Very High,4,Married,19161,13738,3,No,15,Excellent,3,Very High,4,0,28,3,Better,3,5,4,4,3
207,52,Yes,Travel_Rarely,266,Sales,2,Below College,1,Marketing,1038,Low,1,Female,57,Low,1,5,Manager,Very High,4,Married,19845,25846,1,No,15,Excellent,3,Very High,4,1,33,3,Better,3,32,14,6,9
208,27,No,Travel_Frequently,793,Sales,2,Below College,1,Life Sciences,1371,Very High,4,Male,43,Low,1,2,Sales Executive,Very High,4,Single,5071,20392,3,No,20,Outstanding,4,Medium,2,0,8,3,Better,3,6,2,0,0
209,38,No,Travel_Rarely,362,Research & Development,1,Below College,1,Life Sciences,662,High,3,Female,43,High,3,1,Research Scientist,Low,1,Single,2619,14561,3,No,17,Excellent,3,Very High,4,0,8,3,Good,2,0,0,0,0
210,28,Yes,Travel_Frequently,1496,Sales,1,Bachelor,3,Technical Degree,1486,Low,1,Male,92,High,3,1,Sales Representative,High,3,Married,2909,15747,3,No,15,Excellent,3,Very High,4,1,5,3,Best,4,3,2,1,2
211,46,No,Travel_Rarely,705,Sales,2,Master,4,Marketing,38,Medium,2,Female,83,High,3,5,Manager,Low,1,Single,18947,22822,3,No,12,Excellent,3,Very High,4,0,22,2,Good,2,2,2,2,1
212,25,No,Travel_Rarely,180,Research & Development,2,Below College,1,Medical,854,Low,1,Male,65,Very High,4,1,Research Scientist,Low,1,Single,3424,21632,7,No,13,Excellent,3,High,3,0,6,3,Good,2,4,3,0,1
213,27,No,Travel_Rarely,199,Research & Development,6,Bachelor,3,Life Sciences,1162,Very High,4,Male,55,Medium,2,1,Research Scientist,High,3,Married,2539,7950,1,No,13,Excellent,3,High,3,1,4,0,Better,3,4,2,2,2
214,33,No,Travel_Rarely,924,Research & Development,2,Bachelor,3,Medical,39,High,3,Male,78,High,3,1,Laboratory Technician,Very High,4,Single,2496,6670,4,No,11,Excellent,3,Very High,4,0,7,3,Better,3,1,1,0,0
215,53,No,Travel_Frequently,124,Sales,2,Bachelor,3,Marketing,1050,High,3,Female,38,Medium,2,3,Sales Executive,Medium,2,Married,7525,23537,2,No,12,Excellent,3,Low,1,1,30,2,Better,3,15,7,6,12
216,43,No,Travel_Rarely,1291,Research & Development,15,College,2,Life Sciences,1666,High,3,Male,65,Medium,2,4,Research Director,High,3,Married,17603,3525,1,No,24,Outstanding,4,Low,1,1,14,3,Better,3,14,10,6,11
217,33,No,Travel_Rarely,501,Research & Development,15,College,2,Medical,2009,Medium,2,Female,95,High,3,2,Healthcare Representative,Very High,4,Married,4878,21653,0,Yes,13,Excellent,3,Low,1,1,10,6,Better,3,9,7,8,1
218,37,No,Travel_Rarely,367,Research & Development,25,College,2,Medical,1161,High,3,Female,52,Medium,2,2,Healthcare Representative,Very High,4,Divorced,5731,17171,7,No,13,Excellent,3,High,3,2,9,2,Better,3,6,2,1,3
219,25,No,Travel_Rarely,141,Sales,3,Below College,1,Other,879,High,3,Male,98,High,3,2,Sales Executive,Low,1,Married,4194,14363,1,Yes,18,Excellent,3,Very High,4,0,5,3,Better,3,5,3,0,3
220,45,No,Travel_Frequently,1249,Research & Development,7,Bachelor,3,Life Sciences,425,Low,1,Male,97,High,3,3,Laboratory Technician,Low,1,Divorced,5210,20308,1,No,18,Excellent,3,Low,1,1,24,2,Better,3,24,9,9,11
221,23,No,Travel_Rarely,650,Research & Development,9,Below College,1,Medical,758,Medium,2,Male,37,High,3,1,Laboratory Technician,Low,1,Married,2500,4344,1,No,14,Excellent,3,Very High,4,1,5,2,Best,4,4,3,0,2
222,32,No,Travel_Frequently,1311,Research & Development,7,Bachelor,3,Life Sciences,359,Medium,2,Male,100,Very High,4,1,Laboratory Technician,Medium,2,Married,2794,26062,1,No,20,Outstanding,4,High,3,0,5,3,Bad,1,5,1,0,3
223,35,No,Travel_Rarely,287,Research & Development,1,Master,4,Life Sciences,2052,High,3,Female,62,Low,1,1,Research Scientist,Very High,4,Married,2977,8952,1,No,12,Excellent,3,Very High,4,1,4,5,Better,3,4,3,1,1
224,25,No,Travel_Rarely,1356,Sales,10,Master,4,Life Sciences,1240,High,3,Male,57,High,3,2,Sales Executive,Very High,4,Single,4950,20623,0,No,14,Excellent,3,Medium,2,0,5,4,Better,3,4,3,1,1
225,47,No,Travel_Rarely,249,Sales,2,College,2,Marketing,903,High,3,Female,35,High,3,2,Sales Executive,Very High,4,Married,4537,17783,0,Yes,22,Outstanding,4,Low,1,1,8,2,Better,3,7,6,7,7
226,38,No,Travel_Rarely,119,Sales,3,Bachelor,3,Life Sciences,307,Low,1,Male,76,High,3,3,Sales Executive,High,3,Divorced,10609,9647,0,No,12,Excellent,3,High,3,2,17,6,Good,2,16,10,5,13
227,40,No,Travel_Rarely,611,Sales,7,Master,4,Medical,1740,Medium,2,Male,88,High,3,5,Manager,Medium,2,Single,19833,4349,1,No,14,Excellent,3,Medium,2,0,21,3,Good,2,21,8,12,8
228,35,No,Travel_Rarely,1219,Sales,18,Bachelor,3,Medical,975,High,3,Female,86,High,3,2,Sales Executive,High,3,Married,4601,6179,1,No,16,Excellent,3,Medium,2,0,5,3,Better,3,5,2,1,0
229,28,No,Travel_Rarely,640,Research & Development,1,Bachelor,3,Technical Degree,1301,Very High,4,Male,84,High,3,1,Research Scientist,Low,1,Single,2080,4732,2,No,11,Excellent,3,Medium,2,0,5,2,Good,2,3,2,1,2
230,45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,3,Life Sciences,86,Medium,2,Male,59,High,3,3,Research Scientist,Low,1,Divorced,9724,18787,2,No,17,Excellent,3,High,3,1,25,2,Better,3,1,0,0,0
231,36,No,Travel_Rarely,1040,Research & Development,3,College,2,Life Sciences,1664,Very High,4,Male,79,Very High,4,2,Healthcare Representative,Low,1,Divorced,6842,26308,6,No,20,Outstanding,4,Low,1,1,13,3,Better,3,5,4,0,4
232,54,No,Non-Travel,142,Human Resources,26,Bachelor,3,Human Resources,148,Very High,4,Female,30,Very High,4,4,Manager,Very High,4,Single,17328,13871,2,Yes,12,Excellent,3,High,3,0,23,3,Better,3,5,3,4,4
